"I1p","Points:0","Points:1","Points:2"
0.24391,-1.4402,-102.08,-1.3585
0.23371,-4.3419,-102.08,-1.2897
0.25533,-1.3139,-102.08,-4.1609
0.2493,-3.9708,-102.08,-3.9177
0.35895,-1.2164,-102.08,-7.2959
0.36093,-3.6222,-102.08,-6.7879
0.045452,-1.4268,-106.25,-1.328
0.033151,-4.314,-106.25,-1.254
0.03314,-1.2801,-106.25,-4.0996
0.031373,-3.8918,-106.25,-3.8344
0.37201,1.2167,-102.08,-7.2955
0.41255,3.6225,-102.08,-6.7873
0.23229,1.3145,-102.08,-4.1603
0.18235,3.9715,-102.08,-3.9168
0.21396,1.4404,-102.08,-1.3583
0.14242,4.3423,-102.08,-1.2894
0.034987,1.1908,-106.25,-7.233
0.07483,3.55,-106.25,-6.7377
0.11594,5.889,-106.25,-5.8851
0.064282,1.2803,-106.25,-4.0994
0.10881,3.892,-106.25,-3.8342
0.14174,6.7692,-106.25,-3.544
0.085204,1.4269,-106.25,-1.328
0.12598,4.3141,-106.25,-1.254
0.17836,7.3487,-106.25,-1.1887
0.21118,48.301,-107.81,-42.816
0.085968,58.144,-107.51,-40.653
0.19202,41.571,-107.83,-43.759
0.21706,43.21,-107.21,-35.297
0.14301,45.89,-107.07,-26.042
0.034352,57.516,-106.87,-28.002
0.074959,46.877,-107.42,-15.421
0.059048,47.108,-108,-5.1134
0.21291,47.872,-94.898,-63.923
0.16387,45.928,-94.717,-75.702
0.24282,41.54,-95.37,-53.174
0.15878,48.773,-95.457,-52.903
0.084503,47.318,-94.76,-42.263
0.035699,58.853,-95.408,-51.84
0.090537,58.492,-94.829,-63.045
0.15682,57.462,-94.641,-75.696
0.18273,56.756,-94.865,-88.04
0.1391,56.224,-95.63,-99.81
0.18984,41.292,-94.813,-43.329
0.069864,42.969,-93.987,-35.239
0.04362,69.684,-94.674,-76.13
0.093422,69.203,-94.678,-88.255
0.14406,68.607,-95.663,-100.65
0.051174,81.295,-95.761,-101.27
0.14411,46.814,-81.281,-64.273
0.22179,44.753,-81.434,-75.42
0.13626,41.145,-81.36,-53.52
0.054189,47.609,-81.262,-52.694
0.021199,57.339,-81.25,-62.524
0.079513,56.576,-81.338,-74.824
0.14702,56.068,-81.538,-87.19
0.19307,55.959,-82.388,-98.558
0.045161,41.054,-81.339,-42.957
0.027281,68.998,-81.25,-87.345
0.082241,68.708,-82.379,-99.679
0.12876,68.903,-83.609,-111.18
0.038888,81.325,-83.43,-112.45
0.084893,81.525,-83.286,-123.82
0.10701,81.639,-83.309,-136.1
0.04043,93.785,-82.701,-137.58
0.053796,94.019,-82.849,-149.5
0.045493,94.298,-82.83,-161.65
0.062934,46.582,-68.636,-64.386
0.1671,44.347,-68.775,-75.306
0.050731,41.002,-68.551,-53.631
0.028229,56.436,-68.804,-74.74
0.082702,55.81,-68.929,-86.97
0.15572,55.764,-69.397,-98.02
0.032559,68.658,-69.051,-99.242
0.089152,68.811,-69.716,-110.69
0.043105,81.182,-69.399,-124.19
0.095987,81.253,-69.779,-135.56
0.04536,93.803,-69.376,-149.05
0.051601,94.235,-69.436,-161.37
0.024559,46.503,-56.056,-64.279
0.10185,44.216,-56.204,-75.033
0.041398,55.742,-56.385,-86.753
0.10873,55.722,-56.655,-97.716
0.050123,68.75,-56.817,-110.53
0.070024,81.117,-56.838,-135.31
0.030864,93.768,-56.605,-148.86
0.051191,94.241,-56.597,-161.32
0.067055,44.212,-43.65,-74.596
0.020681,55.775,-43.863,-86.489
0.07825,55.779,-44.01,-97.416
0.02758,68.765,-44.073,-110.37
0.047989,81.064,-44.034,-135.15
0.047633,94.236,-43.9,-161.26
0.050588,44.286,-31.085,-73.959
0.062857,55.913,-31.365,-97.095
0.036639,81.013,-31.264,-135.08
0.043638,94.189,-31.248,-161.2
0.046836,44.378,-18.46,-73.105
0.062481,56.041,-18.599,-96.862
0.034884,80.893,-18.471,-135.17
0.042124,94.068,-18.572,-161.13
0.056667,43.773,-6.0625,-72.385
0.08589,55.254,-6.0844,-97.34
0.029119,67.923,-6.0069,-110.77
0.046603,80.143,-6.0313,-135.89
0.046859,93.455,-6.1096,-161.4
0.021024,73.943,-137.43,-38.381
0.067694,74.115,-137.91,-26.464
0.052968,74.01,-137.68,-30.478
0.0347,73.955,-137.52,-34.454
0.22855,85.953,-138.48,-34.454
0.23543,85.972,-138.5,-30.484
0.24115,86.008,-138.62,-26.481
0.1843,81.94,-138.18,-34.486
0.20056,81.97,-138.24,-30.521
0.20987,82.027,-138.39,-26.518
0.10315,77.937,-137.86,-34.484
0.12213,77.979,-137.97,-30.519
0.13632,78.061,-138.16,-26.512
0.040213,85.674,-142.65,-34.602
0.055474,85.675,-142.68,-30.676
0.063651,85.694,-142.86,-26.718
0.19027,85.939,-138.65,-46.209
0.21047,85.941,-138.6,-42.301
0.22193,85.945,-138.54,-38.383
0.098147,81.932,-138.27,-46.205
0.12678,81.929,-138.24,-42.312
0.15921,81.929,-138.2,-38.406
0.025813,77.944,-137.85,-46.187
0.051791,77.931,-137.84,-42.303
0.081427,77.926,-137.83,-38.403
0.025124,85.688,-142.63,-38.477
0.099207,85.903,-138.53,-57.895
0.13194,85.929,-138.57,-53.994
0.16408,85.937,-138.62,-50.099
0.02409,81.909,-138.18,-57.828
0.049759,81.935,-138.2,-53.951
0.076453,81.938,-138.24,-50.078
0.032114,85.714,-138.28,-69.499
0.054675,85.796,-138.41,-65.676
0.075569,85.859,-138.49,-61.792
0.081074,74.623,-138.78,-14.284
0.020108,70.758,-138.65,-14.219
0.079557,74.432,-138.49,-18.36
0.075418,74.261,-138.19,-22.425
0.25124,86.268,-139.13,-14.327
0.22338,82.373,-139.02,-14.337
0.15358,78.489,-138.91,-14.322
0.24914,86.156,-138.95,-18.4
0.22078,82.232,-138.8,-18.421
0.1511,78.323,-138.65,-18.407
0.24564,86.068,-138.77,-22.455
0.21606,82.115,-138.58,-22.486
0.14519,78.178,-138.4,-22.475
0.075442,86.037,-143.43,-14.568
0.073954,85.862,-143.2,-18.67
0.069082,85.751,-143.04,-22.731
0.047419,98.009,-139.35,-22.108
0.044573,98.019,-139.37,-18.09
0.041852,98.033,-139.37,-14.077
0.12674,94.021,-139.11,-22.27
0.12205,94.053,-139.19,-18.239
0.11801,94.098,-139.29,-14.202
0.21286,90.036,-138.95,-22.383
0.21241,90.094,-139.08,-18.341
0.21311,90.173,-139.22,-14.284
0.10327,97.956,-143.64,-22.142
0.10469,97.966,-143.65,-18.142
0.10464,97.986,-143.7,-14.134
0.24252,93.857,-143.43,-22.395
0.24698,93.89,-143.49,-18.388
0.24903,93.958,-143.63,-14.358
0.1609,89.772,-143.26,-22.588
0.16797,89.838,-143.38,-18.562
0.16874,89.963,-143.57,-14.499
0.06886,97.896,-148.17,-22.225
0.07483,97.904,-148.05,-18.234
0.07178,97.924,-148.32,-14.252
0.036757,93.64,-147.74,-22.613
0.036655,93.662,-147.69,-18.626
0.038853,93.751,-147.99,-14.64
0.062851,97.999,-139.34,-34.143
0.055284,98,-139.3,-30.125
0.04992,98.003,-139.27,-26.127
0.14992,93.988,-139.02,-34.292
0.14231,93.992,-139,-30.296
0.13338,94.002,-139.03,-26.288
0.21965,89.969,-138.76,-34.39
0.21473,89.979,-138.75,-30.41
0.2131,89.999,-138.83,-26.403
0.096094,97.958,-143.59,-34.117
0.10121,97.956,-143.57,-30.122
