U_mm,RF_N
0.0,0.0
0.03367185,393.301
0.1126945,901.8
0.12137099999999999,926.434
0.13177,949.475
0.1454385,969.829
0.16783900000000002,987.05
0.19158499999999998,987.251
0.2239505,962.15
0.2933045,866.767
0.36265899999999995,751.962
0.4116405,668.825
0.524655,505.554
0.6592,365.482
1.009175,170.031
1.31699,94.8792
1.58652,66.5644
1.717805,57.8529
1.8323500000000001,51.9855
1.945605,47.2985
2.0995150000000002,42.1486
2.3563799999999997,35.8217
2.46779,33.7191
2.595405,31.6255
2.6567499999999997,30.7473
2.689095,30.3054
2.732685,29.731
2.790995,29.0239
2.898835,27.8199
3.038545,26.44
3.12861,25.6642
3.251405,24.7069
3.305245,24.3324
3.414205,23.6217
